0 0.600000
1 0.888000
2 0.367987
3 0.860519
4 0.444097
5 0.913437
6 0.292558
7 0.765781
8 0.663633
9 0.825930
10 0.531948
11 0.921223
12 0.268512
13 0.726729
14 0.734797
15 0.721020
16 0.744256
17 0.704255
18 0.770636
19 0.653997
20 0.837254
21 0.504162
22 0.924936
23 0.256889
24 0.706319
25 0.767500
26 0.660242
27 0.829993
28 0.522086
29 0.923195
30 0.262352
31 0.716036
32 0.752315
33 0.689448
34 0.792205
35 0.609081
36 0.880975
37 0.387975
38 0.878566
39 0.394744
40 0.884008
41 0.379389
42 0.871176
43 0.415244
44 0.898421
45 0.337665
46 0.827495
47 0.528164
48 0.922065
49 0.265886
50 0.722205
51 0.742312
52 0.707755
53 0.765301
54 0.664578
55 0.824782
56 0.534711
57 0.920542
58 0.270634
59 0.730347
60 0.728678
61 0.731513
62 0.726687
63 0.734869
64 0.720895
65 0.744459
66 0.703887
67 0.771191
68 0.652884
69 0.838518
70 0.501001
71 0.924996
72 0.256699
73 0.705977
74 0.768021
75 0.659209
76 0.831214
77 0.519100
78 0.923650
79 0.260926
80 0.713521
81 0.756313
82 0.681924
83 0.802544
84 0.586329
85 0.897425
86 0.340597
87 0.830986
88 0.519659
89 0.923570
90 0.261177
91 0.713965
92 0.755610
93 0.683256
94 0.800744
95 0.590346
96 0.894799
97 0.348295
98 0.839846
99 0.497666
100 0.924980
