0.600000 0.600000
0.600000 0.852000
0.852000 0.852000
0.852000 0.447641
0.447641 0.447641
0.447641 0.877768
0.877768 0.877768
0.877768 0.380885
0.380885 0.380885
0.380885 0.837131
0.837131 0.837131
0.837131 0.484016
0.484016 0.484016
0.484016 0.886593
0.886593 0.886593
0.886593 0.356938
0.356938 0.356938
0.356938 0.814843
0.814843 0.814843
0.814843 0.535603
0.535603 0.535603
0.535603 0.883000
0.883000 0.883000
0.883000 0.366754
0.366754 0.366754
0.366754 0.824471
0.824471 0.824471
0.824471 0.513751
0.513751 0.513751
0.513751 0.886829
0.886829 0.886829
0.886829 0.356290
0.356290 0.356290
0.356290 0.814184
0.814184 0.814184
0.814184 0.537074
0.537074 0.537074
0.537074 0.882621
0.882621 0.882621
0.882621 0.367785
0.367785 0.367785
0.367785 0.825444
0.825444 0.825444
0.825444 0.511507
0.511507 0.511507
0.511507 0.887030
0.887030 0.887030
0.887030 0.355738
0.355738 0.355738
0.355738 0.813619
0.813619 0.813619
0.813619 0.538333
0.538333 0.538333
0.538333 0.882283
0.882283 0.882283
0.882283 0.368701
0.368701 0.368701
0.368701 0.826300
0.826300 0.826300
0.826300 0.509526
0.509526 0.509526
0.509526 0.887178
0.887178 0.887178
0.887178 0.355331
0.355331 0.355331
0.355331 0.813202
0.813202 0.813202
0.813202 0.539261
0.539261 0.539261
0.539261 0.882028
0.882028 0.882028
0.882028 0.369394
0.369394 0.369394
0.369394 0.826945
0.826945 0.826945
0.826945 0.508031
0.508031 0.508031
0.508031 0.887271
0.887271 0.887271
0.887271 0.355075
0.355075 0.355075
0.355075 0.812938
0.812938 0.812938
0.812938 0.539847
0.539847 0.539847
0.539847 0.881863
0.881863 0.881863
0.881863 0.369840
0.369840 0.369840
0.369840 0.827357
0.827357 0.827357
0.827357 0.507072
0.507072 0.507072
0.507072 0.887322
0.887322 0.887322
0.887322 0.354934
0.354934 0.354934
0.354934 0.812793
0.812793 0.812793
0.812793 0.540170
0.540170 0.540170
0.540170 0.881772
0.881772 0.881772
0.881772 0.370089
0.370089 0.370089
0.370089 0.827587
0.827587 0.827587
0.827587 0.506538
0.506538 0.506538
0.506538 0.887348
0.887348 0.887348
0.887348 0.354863
0.354863 0.354863
0.354863 0.812720
0.812720 0.812720
0.812720 0.540332
0.540332 0.540332
0.540332 0.881725
0.881725 0.881725
0.881725 0.370215
0.370215 0.370215
0.370215 0.827703
0.827703 0.827703
0.827703 0.506268
0.506268 0.506268
0.506268 0.887361
0.887361 0.887361
0.887361 0.354829
0.354829 0.354829
0.354829 0.812685
0.812685 0.812685
0.812685 0.540410
0.540410 0.540410
0.540410 0.881703
0.881703 0.881703
0.881703 0.370275
0.370275 0.370275
0.370275 0.827758
0.827758 0.827758
0.827758 0.506139
0.506139 0.506139
0.506139 0.887366
0.887366 0.887366
0.887366 0.354813
0.354813 0.354813
0.354813 0.812669
0.812669 0.812669
0.812669 0.540445
0.540445 0.540445
0.540445 0.881693
0.881693 0.881693
0.881693 0.370303
0.370303 0.370303
0.370303 0.827784
0.827784 0.827784
0.827784 0.506080
0.506080 0.506080
0.506080 0.887369
0.887369 0.887369
0.887369 0.354806
0.354806 0.354806
0.354806 0.812662
0.812662 0.812662
0.812662 0.540461
0.540461 0.540461
0.540461 0.881688
0.881688 0.881688
0.881688 0.370315
0.370315 0.370315
0.370315 0.827796
0.827796 0.827796
0.827796 0.506053
0.506053 0.506053
0.506053 0.887370
0.887370 0.887370
0.887370 0.354803
0.354803 0.354803
0.354803 0.812658
0.812658 0.812658
0.812658 0.540469
0.540469 0.540469
0.540469 0.881686
0.881686 0.881686
0.881686 0.370321
0.370321 0.370321
0.370321 0.827801
0.827801 0.827801
0.827801 0.506041
0.506041 0.506041
0.506041 0.887370
0.887370 0.887370
0.887370 0.354802
0.354802 0.354802
0.354802 0.812657
0.812657 0.812657
0.812657 0.540472
0.540472 0.540472
0.540472 0.881685
0.881685 0.881685
0.881685 0.370323
0.370323 0.370323
0.370323 0.827803
0.827803 0.827803
